"id","name","categoryId","ingredients","allergens","available"
"32","Bánh Pudding chuối nhung đỏ","5","Granulated Sugar, Cocoa Powder, Cake Flour, Baking Soda, Muối, Bơ, Trứng, Sữa, Kem chua, Giấm rượu táo, Chiết xuất Vanilla, Chất tạo màu thực phẩm, Kem béo, Sữa đặc có đường, Pudding Vanilla ăn liền, Chuối, Sô-cô-la bào","null","true"
"33","Bánh Brownie Sô-cô-la","6","Bột mì, Bột Ca cao, Bột nở, Muối, Đường cát, Chiết xuất Vanilla, Trứng, Bơ, Hạt Sô-cô-la ngọt vừa","null","true"
"34","Bánh Brownie vụn Sô-cô-la và bơ cứng","6","Bơ, Đường, Si-rô Ngô đen, Muối, Baking Soda, Chiết xuất Vanilla, 58% Sô-cô-la Couveture, Hồ đào","Sản phẩm bơ sữa, Quả hạch","true"
"35","Bánh Brownie vụn Bạc hà","6","Kẹo bạc hà, Sô-cô-la Couverture trắng, 58% Sô-cô-la Couverture, Cacao Krispy","Sản phẩm bơ sữa, Chất Gluten","true"
"36","Bánh Brownie hương chanh","6","Bột mì, Bơ, Đường bánh kẹo, Muối, Trứng, Đường cát, Vỏ chanh, Nước trái cây, Bột nở","
Lúa mì, Sữa, Trứng, Sản phẩm bơ sữa, Chất Gluten","true"
"38","Bánh Brownie hương Vanilla, Sô-cô-la","6","Bột mì, Bột Ca cao, Bột nở, Muối, Đường cát, Chiết xuất Vanilla, Bơ, Trứng, Đường nâu, Hạt Sô-cô-la Callets 65%, Hạt Sô-cô-la ngọt vừa, Dừa ngọt, Quả óc chó, Sữa đặc có đường, Bánh quy giòn Graham","null","true"
"39","Bánh Cupcake Carrie","1","Bột làm bánh, Đường hạt, Bơ, Bột nở, Baking Soda, Muối, Sữa, Sữa chua, Lòng trắng trứng, Chiết xuất Vanilla, Đường bánh kẹo, Chất tạo màu thực phẩm, Bông đường","null","true"
"41","Bánh Icebox Pudding Sô-cô-la","3","
Đường cát, Bột ca cao, Bột bắp, Muối, Sữa, Sô-cô-la Callets 65%, Chiết xuất Vanilla, kem béo, Sô-cô-la bào","Lúa mì, Sữa, Trứng, Sữa, Chất Gluten
","true"
"42","Bánh Icebox bí ngô","3","Vụn gừng, Vụn bánh quy giòn Graham, Bơ, Kem phô mai, Đường nâu, Đường bánh kẹo, Chiết xuất Vanilla, Quế, Đinh hương, Gừng, Nhục đậu khấu, Bí ngô, Sữa đặc có đường, Kem béo, Hồ đào, Lòng trắng trứng","Lúa mì, Sữa, Trứng, Sữa, Chất Gluten","true"
"43","Bánh kem kiểu Đức","4","Bột mì , Sô-cô-la Callets 65%, Mảnh Sô-cô-la không đường, Baking Soda, Muối, Trứng, Bơ, Đường cát, Chiết xuất Vanilla, Sữa bơ, Sữa tươi, Dừa ngọt, Hồ đào","Lúa mì, Sữa, Trứng, Sữa, Gluten","true"
